date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking_date,home_rank,home_ranking_points,away_ranking_date,away_rank,away_ranking_points,rank_diff,points_diff,home_win,draw
2021-03-27,Bosnia and Herzegovina,Costa Rica,0,0,Friendly,Zenica,Bosnia and Herzegovina,False,2021-02-18,56,1410.0,2021-02-18,50,1427.0,-6,-17.0,0,1
2021-03-27,Croatia,Cyprus,1,0,FIFA World Cup qualification,Rijeka,Croatia,False,2021-02-18,11,1617.0,2021-02-18,100,1224.0,89,393.0,1,0
2021-03-27,Czech Republic,Belgium,1,1,FIFA World Cup qualification,Prague,Czech Republic,False,2021-02-18,42,1456.0,2021-02-18,1,1780.0,-41,-324.0,0,1
2021-03-27,Netherlands,Latvia,2,0,FIFA World Cup qualification,Amsterdam,Netherlands,False,2021-02-18,14,1609.0,2021-02-18,136,1082.0,122,527.0,1,0
2021-03-27,Norway,Turkey,0,3,FIFA World Cup qualification,Málaga,Spain,True,2021-02-18,44,1450.0,,,,,,0,0
2021-03-27,Qatar,Azerbaijan,2,1,Friendly,Debrecen,Hungary,True,2021-02-18,58,1391.0,2021-02-18,108,1180.0,50,211.0,1,0
2021-03-27,Serbia,Portugal,2,2,FIFA World Cup qualification,Belgrade,Serbia,False,2021-02-18,30,1492.0,2021-02-18,5,1662.0,-25,-170.0,0,1
2021-03-27,Wales,Mexico,1,0,Friendly,Cardiff,Wales,False,2021-02-18,18,1562.0,2021-02-18,9,1632.0,-9,-70.0,1,0
2021-03-28,Albania,England,0,2,FIFA World Cup qualification,Tirana,Albania,False,2021-02-18,66,1360.0,2021-02-18,4,1670.0,-62,-310.0,0,0
2021-03-28,Austria,Faroe Islands,3,1,FIFA World Cup qualification,Vienna,Austria,False,2021-02-18,23,1531.0,2021-02-18,107,1183.0,84,348.0,1,0
2021-03-28,Cuba,Curaçao,1,2,FIFA World Cup qualification,Guatemala City,Guatemala,True,2021-02-18,180,936.0,,,,,,0,0
2021-03-28,Dominica,Panama,1,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,True,2021-02-18,184,919.0,2021-02-18,78,1312.0,-106,-393.0,0,0
2021-03-28,Georgia,Spain,1,2,FIFA World Cup qualification,Tbilisi,Georgia,False,2021-02-18,89,1267.0,2021-02-18,6,1645.0,-83,-378.0,0,0
2021-03-28,Ghana,São Tomé and Príncipe,3,1,African Cup of Nations qualification,Cape Coast,Ghana,False,2021-02-18,52,1424.0,2021-02-18,187,914.0,135,510.0,1,0
